2013-12-09 18:21:36 status half-installed libboost-iostreams1.53.0:amd64 1.53.0-6+b2
2013-12-09 18:21:37 status config-files libboost-iostreams1.53.0:amd64 1.53.0-6+b2
2013-12-09 18:21:37 purge libboost-iostreams1.53.0:amd64 1.53.0-6+b2 <none>
2013-12-09 18:21:37 status config-files libboost-iostreams1.53.0:amd64 1.53.0-6+b2
2013-12-09 18:21:37 status config-files libboost-iostreams1.53.0:amd64 1.53.0-6+b2
2013-12-09 18:21:37 status config-files libboost-iostreams1.53.0:amd64 1.53.0-6+b2
2013-12-09 18:21:37 status config-files libboost-iostreams1.53.0:amd64 1.53.0-6+b2
2013-12-09 18:21:37 status config-files libboost-iostreams1.53.0:amd64 1.53.0-6+b2
2013-12-09 18:21:37 status not-installed libboost-iostreams1.53.0:amd64 <none>
2013-12-09 18:21:37 status installed libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:37 remove libboost-iostreams1.54.0:amd64 1.54.0-3+b1 <none>
2013-12-09 18:21:37 status half-configured libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:37 status half-installed libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:38 status config-files libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:38 purge libboost-iostreams1.54.0:amd64 1.54.0-3+b1 <none>
2013-12-09 18:21:38 status config-files libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:38 status config-files libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:38 status config-files libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:38 status config-files libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:38 status config-files libboost-iostreams1.54.0:amd64 1.54.0-3+b1
2013-12-09 18:21:38 status not-installed libboost-iostreams1.54.0:amd64 <none>
2013-12-09 18:21:38 status installed libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:38 remove libcwidget3:amd64 0.5.16-3.5 <none>
2013-12-09 18:21:38 status half-configured libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:38 status half-installed libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:39 status config-files libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:39 purge libcwidget3:amd64 0.5.16-3.5 <none>
2013-12-09 18:21:39 status config-files libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:39 status config-files libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:39 status config-files libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:39 status config-files libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:39 status config-files libcwidget3:amd64 0.5.16-3.5
2013-12-09 18:21:39 status not-installed libcwidget3:amd64 <none>
2013-12-09 18:21:39 status installed libept1.4.12:amd64 1.0.12
2013-12-09 18:21:39 remove libept1.4.12:amd64 1.0.12 <none>
2013-12-09 18:21:39 status half-configured libept1.4.12:amd64 1.0.12
2013-12-09 18:21:39 status half-installed libept1.4.12:amd64 1.0.12
2013-12-09 18:21:40 status config-files libept1.4.12:amd64 1.0.12
2013-12-09 18:21:40 purge libept1.4.12:amd64 1.0.12 <none>
2013-12-09 18:21:40 status config-files libept1.4.12:amd64 1.0.12
2013-12-09 18:21:40 status config-files libept1.4.12:amd64 1.0.12
2013-12-09 18:21:40 status config-files libept1.4.12:amd64 1.0.12
2013-12-09 18:21:40 status config-files libept1.4.12:amd64 1.0.12
2013-12-09 18:21:40 status config-files libept1.4.12:amd64 1.0.12
2013-12-09 18:21:40 status not-installed libept1.4.12:amd64 <none>
2013-12-09 18:21:40 status installed libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:40 remove libsqlite3-0:amd64 3.8.2-1 <none>
2013-12-09 18:21:40 status half-configured libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:40 status half-installed libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:41 status config-files libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:41 purge libsqlite3-0:amd64 3.8.2-1 <none>
2013-12-09 18:21:41 status config-files libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:41 status config-files libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:41 status config-files libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:41 status config-files libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:41 status config-files libsqlite3-0:amd64 3.8.2-1
2013-12-09 18:21:41 status not-installed libsqlite3-0:amd64 <none>
2013-12-09 18:21:41 status installed libudev0:amd64 175-7.2
2013-12-09 18:21:41 remove libudev0:amd64 175-7.2 <none>
2013-12-09 18:21:41 status half-configured libudev0:amd64 175-7.2
2013-12-09 18:21:41 status half-installed libudev0:amd64 175-7.2
2013-12-09 18:21:42 status config-files libudev0:amd64 175-7.2
2013-12-09 18:21:42 purge libudev0:amd64 175-7.2 <none>
2013-12-09 18:21:42 status config-files libudev0:amd64 175-7.2
2013-12-09 18:21:42 status config-files libudev0:amd64 175-7.2
